--- Session started : 2021-08-21-145005
Algorithm being used is 'ReplaceMissingValuesWithMean'

Test Record    Best Match     Similarity  Predicted   Calculated  
Number         Record         Measure     Outcome     Outcome     
0              305                0.9         0          0     
1              166                0.8         0          0     
2              166                0.8         0          0     
3              66                 0.9         1          0     
4              596                0.8         0          0     
5              54                 0.9         1          0     
6              131                0.9         0          0     
7              54                 0.8         1          0     
8              447                0.8         0          0     
9              166                0.8         1          0     
10             54                 0.8         0          0     
11             66                 0.9         1          0     
12             166                0.8         0          0     
13             54                 0.9         0          0     
14             166                0.8         1          0     
15             366                0.8         0          0     
16             6                  0.8         0          0     
17             305                0.9         0          0     
18             166                0.9         0          0     
19             596                0.8         0          0     
20             166                0.8         1          0     
21             305                0.9         1          0     
22             305                0.9         1          0     
23             166                0.8         0          0     
24             71                 0.8         0          0     
25             66                 0.9         0          0     
26             54                 0.9         1          0     
27             54                 0.9         0          0     
28             54                 0.9         0          0     
29             54                 0.9         0          0     
30             166                0.8         1          0     
31             166                0.9         1          0     
32             596                0.8         0          0     
33             166                0.8         1          0     
34             166                0.9         1          0     
35             66                 0.9         0          0     
36             54                 0.8         0          0     
37             54                 0.9         0          0     
38             71                 0.9         0          0     
39             366                0.8         0          0     
40             166                0.8         1          0     
41             166                0.8         1          0     
42             71                 0.9         0          0     
43             54                 0.9         0          0     
44             166                0.9         0          0     
45             66                 0.9         0          0     
46             366                0.8         0          0     
47             54                 0.9         0          0     
48             166                0.9         1          0     
49             166                 1          1          0     
50             366                0.8         0          0     
51             366                0.8         1          0     
52             166                0.9         0          0     
53             66                 0.9         1          0     
54             54                 0.9         1          0     
55             166                0.8         0          0     
56             54                 0.9         0          0     
57             313                0.9         0          0     
58             166                0.9         0          0     
59             166                0.8         1          0     
60             366                0.8         1          0     
61             166                0.9         0          0     
62             54                 0.9         1          0     
63             54                 0.9         0          0     
64             54                 0.9         0          0     
65             66                 0.9         0          0     
66             66                 0.8         0          0     
67             166                0.8         0          0     
68             166                0.8         0          0     
69             305                0.9         1          0     
70             166                0.8         0          0     
71             166                0.9         1          0     
72             66                 0.9         0          0     
73             480                0.8         0          0     
74             537                0.8         0          0     
75             54                 0.9         0          0     
76             166                0.8         0          0     
Prediction accuracy  = 51 out of 77 (66.23%)
--- Session ended : 2021-08-21-145005
