--- Session started : 2021-08-21-145003
Algorithm being used is 'ReplaceMissingValuesWithMean'

Test Record    Best Match     Similarity  Predicted   Calculated  
Number         Record         Measure     Outcome     Outcome     
0              57                 0.9         1          0     
1              540                0.8         0          0     
2              67                 0.9         1          0     
3              310                0.7         1          0     
4              67                 0.8         1          0     
5              67                 0.9         1          0     
6              57                 0.9         0          0     
7              57                 0.9         1          0     
8              599                0.8         1          0     
9              599                0.7         0          0     
10             189                0.8         0          0     
11             57                 0.8         1          0     
12             67                 0.8         1          0     
13             599                0.8         1          0     
14             310                0.8         0          0     
15             310                0.9         0          0     
16             370                0.8         0          0     
17             57                 0.9         1          0     
18             66                 0.7         0          0     
19             599                0.8         1          0     
20             370                0.7         0          0     
21             370                0.8         0          0     
22             67                 0.9         1          0     
23             57                 0.9         0          0     
24             57                 0.9         1          0     
25             599                0.8         1          0     
26             636                0.8         0          0     
27             67                 0.8         0          0     
28             310                0.8         1          0     
29             67                 0.8         0          0     
30             310                0.9         0          0     
31             57                 0.8         1          0     
32             618                0.8         1          0     
33             599                0.8         0          0     
34             7                  0.8         0          0     
35             370                0.7         1          0     
36             370                0.8         0          0     
37             370                0.8         1          0     
38             57                 0.9         0          0     
39             67                 0.8         1          0     
40             310                0.9         1          0     
41             370                0.8         0          0     
42             310                0.9         1          0     
43             370                0.8         0          0     
44             67                 0.9         1          0     
45             599                0.8         0          0     
46             618                0.8         0          0     
47             67                 0.9         0          0     
48             540                0.8         0          0     
49             57                 0.8         1          0     
50             67                 0.9         1          0     
51             67                 0.9         0          0     
52             57                 0.9         0          0     
53             57                 0.9         0          0     
54             618                0.7         0          0     
55             310                0.9         0          0     
56             67                 0.9         0          0     
57             599                0.8         0          0     
58             67                 0.8         0          0     
59             57                 0.9         0          0     
60             67                 0.9         0          0     
61             57                 0.9         0          0     
62             370                0.8         0          0     
63             599                0.8         0          0     
64             310                0.9         0          0     
65             310                0.8         1          0     
66             599                0.8         1          0     
67             67                 0.9         1          0     
68             370                0.8         0          0     
69             599                0.8         0          0     
70             67                 0.9         0          0     
71             57                 0.9         0          0     
72             57                 0.8         0          0     
73             599                0.8         0          0     
74             370                0.8         0          0     
75             310                0.8         0          0     
76             57                 0.8         1          0     
Prediction accuracy  = 47 out of 77 (61.04%)
--- Session ended : 2021-08-21-145003
