--- Session started : 2021-08-19-161831
Algorithm being used is 'None'

Test Record    Best Match     Similarity  Predicted   Calculated  
Number         Record         Measure     Outcome     Outcome     
0              482                 1          0          0     
1              60                  1          1          0     
2              158                 1          1          0     
3              420                 1          0          0     
4              169                 1          0          0     
5              269                 1          0          0     
6              140                 1          0          1     
7              290                 1          1          0     
8              1                   1          1          0     
9              564                 1          0          1     
10             617                 1          0          0     
11             21                  1          1          1     
12             312                 1          1          1     
13             512                 1          0          0     
14             586                 1          0          0     
15             593                 1          0          0     
16             595                 1          1          1     
17             627                 1          0          1     
18             47                  1          1          0     
19             480                 1          0          0     
20             25                  1          1          0     
21             513                 1          0          1     
22             154                 1          0          0     
23             116                 1          0          0     
24             327                 1          1          1     
25             314                 1          0          0     
26             276                 1          1          0     
27             431                 1          0          1     
28             67                  1          1          0     
29             193                 1          0          1     
30             357                 1          0          0     
31             469                 1          0          0     
32             208                 1          1          1     
33             359                 1          0          0     
34             588                 1          1          0     
35             170                 1          0          1     
36             100                 1          0          1     
37             108                 1          0          1     
38             569                 1          0          0     
39             181                 1          0          0     
40             615                 1          0          0     
41             569                 1          1          0     
42             505                 1          0          0     
43             367                 1          0          0     
44             366                 1          0          1     
45             400                 1          0          0     
46             103                 1          0          0     
47             273                 1          0          0     
48             495                 1          1          0     
49             609                 1          0          1     
50             199                 1          1          0     
51             467                 1          0          0     
52             195                 1          0          0     
53             366                 1          1          1     
54             478                 1          1          1     
55             576                 1          0          1     
56             222                 1          0          0     
57             124                 1          0          0     
58             345                 1          1          1     
59             513                 1          1          1     
60             225                 1          0          0     
61             224                 1          1          1     
62             381                 1          0          0     
63             420                 1          0          0     
64             16                  1          0          1     
65             180                 1          0          1     
66             510                 1          1          0     
67             318                 1          0          0     
68             264                 1          1          1     
69             88                  1          0          0     
70             105                 1          0          1     
71             210                 1          0          0     
72             471                 1          0          0     
73             236                 1          0          0     
74             459                 1          0          1     
75             411                 1          0          0     
76             9                   1          0          1     
77             24                  1          1          0     
78             482                 1          0          0     
79             567                 1          0          0     
80             614                 1          0          1     
81             650                 1          0          0     
82             588                 1          1          0     
83             250                 1          0          1     
84             58                  1          0          0     
85             335                 1          0          1     
86             511                 1          0          0     
87             359                 1          0          0     
88             114                 1          0          0     
89             443                 1          0          0     
90             545                 1          0          0     
91             450                 1          1          0     
92             308                 1          0          1     
93             552                 1          0          0     
94             639                 1          1          1     
95             595                 1          0          1     
96             133                 1          0          0     
97             413                 1          0          0     
98             127                 1          0          0     
99             332                 1          0          0     
100            303                 1          0          0     
101            47                  1          0          0     
102            230                 1          0          0     
103            509                 1          0          1     
104            181                 1          0          0     
105            169                 1          0          0     
106            241                 1          1          0     
107            271                 1          0          1     
108            591                 1          1          0     
109            382                 1          0          0     
110            136                 1          0          0     
111            359                 1          0          0     
112            133                 1          1          0     
113            67                  1          1          0     
114            449                 1          0          0     
115            244                 1          0          1     
Prediction accuracy  = 71 out of 116 (61.21%)
--- Session ended : 2021-08-19-161831
