--- Session started : 2021-08-19-161836
Algorithm being used is 'None'

Test Record    Best Match     Similarity  Predicted   Calculated  
Number         Record         Measure     Outcome     Outcome     
0              562                 1          1          1     
1              43                  1          0          0     
2              269                 1          0          0     
3              566                 1          0          0     
4              210                 1          0          1     
5              629                 1          0          0     
6              86                  1          0          0     
7              321                 1          1          1     
8              564                 1          1          1     
9              253                 1          1          0     
10             508                 1          0          1     
11             305                 1          0          0     
12             36                  1          0          0     
13             167                 1          0          0     
14             16                  1          0          0     
15             495                 1          1          0     
16             257                 1          0          1     
17             43                  1          1          0     
18             144                 1          0          0     
19             471                 1          1          0     
20             118                 1          1          0     
21             335                 1          1          0     
22             511                 1          0          0     
23             83                  1          0          0     
24             289                 1          0          0     
25             446                 1          0          0     
26             477                 1          0          0     
27             200                 1          1          1     
28             470                 1          1          0     
29             302                 1          0          0     
30             76                  1          1          0     
31             301                 1          0          0     
32             509                 1          1          0     
33             246                 1          1          0     
34             355                 1          1          1     
35             142                 1          0          0     
36             236                 1          1          0     
37             294                 1          1          0     
38             78                  1          1          0     
39             113                 1          0          0     
40             72                  1          0          0     
41             241                 1          0          0     
42             51                  1          0          1     
43             297                 1          0          1     
44             122                 1          1          0     
45             508                 1          0          1     
46             620                 1          0          1     
47             51                  1          1          1     
48             411                 1          0          0     
49             167                 1          0          0     
50             72                  1          0          0     
51             550                 1          0          0     
52             254                 1          1          0     
53             553                 1          1          0     
54             376                 1          0          0     
55             238                 1          0          1     
56             583                 1          1          0     
57             651                 1          0          0     
58             446                 1          1          0     
59             130                 1          1          0     
60             484                 1          1          1     
61             92                  1          1          1     
62             131                 1          0          0     
63             48                  1          1          0     
64             98                  1          0          0     
65             463                 1          0          0     
66             385                 1          1          0     
67             43                  1          1          0     
68             607                 1          0          0     
69             467                 1          0          0     
70             448                 1          1          0     
71             204                 1          0          0     
72             399                 1          0          0     
73             51                  1          0          1     
74             23                  1          1          0     
75             199                 1          1          1     
76             138                 1          1          0     
77             183                 1          0          1     
78             72                  1          0          0     
79             477                 1          1          0     
80             263                 1          1          0     
81             562                 1          1          1     
82             353                 1          1          1     
83             289                 1          0          0     
84             232                 1          0          1     
85             56                  1          0          0     
86             262                 1          0          1     
87             270                 1          0          1     
88             481                 1          0          0     
89             327                 1          0          0     
90             554                 1          1          0     
91             131                 1          0          0     
92             172                 1          1          1     
93             146                 1          1          0     
94             100                 1          0          1     
95             444                 1          0          0     
96             236                 1          1          0     
97             477                 1          0          0     
98             391                 1          1          0     
99             345                 1          1          1     
100            249                 1          1          1     
101            623                 1          1          0     
102            313                 1          0          0     
103            238                 1          1          1     
104            96                  1          0          0     
105            587                 1          1          0     
106            232                 1          0          1     
107            412                 1          0          0     
108            53                  1          0          1     
109            358                 1          0          0     
110            477                 1          0          0     
111            432                 1          0          0     
112            589                 1          0          1     
113            604                 1          0          0     
114            336                 1          0          0     
115            433                 1          1          1     
Prediction accuracy  = 66 out of 116 (56.90%)
--- Session ended : 2021-08-19-161836
