--- Session started : 2021-08-24-180531
Algorithm being used is 'None'

Test Record    Best Match     Similarity  Predicted   Calculated  
Number         Record         Measure     Outcome     Outcome     
0              84                  1          0          0     
1              687                 1          0          0     
2              472                 1          0          0     
3              324                 1          0          0     
4              333                 1          0          0     
5              323                 1          0          0     
6              434                 1          1          0     
7              532                 1          1          1     
8              655                 1          0          0     
9              381                 1          1          1     
10             547                 1          1          0     
11             483                 1          0          0     
12             259                 1          0          1     
13             633                 1          0          0     
14             641                 1          1          1     
15             647                 1          0          1     
16             660                 1          0          0     
17             92                  1          1          0     
18             79                  1          1          0     
19             81                  1          0          0     
20             616                 1          0          0     
21             373                 1          0          0     
22             183                 1          1          0     
23             562                 1          0          0     
24             684                 1          0          1     
25             646                 1          0          0     
26             539                 1          1          0     
27             256                 1          0          0     
28             239                 1          0          0     
29             619                 1          1          0     
30             392                 1          0          0     
31             347                 1          0          0     
32             588                 1          0          0     
33             495                 1          0          0     
34             440                 1          0          0     
35             580                 1          1          0     
36             271                 1          0          0     
37             238                 1          1          1     
38             483                 1          0          0     
39             230                 1          0          1     
40             565                 1          0          0     
41             282                 1          1          0     
42             567                 1          0          0     
43             148                 1          0          0     
44             384                 1          0          0     
45             568                 1          0          0     
46             362                 1          1          1     
47             242                 1          0          0     
48             75                  1          0          0     
49             289                 1          1          1     
50             549                 1          0          0     
51             421                 1          0          0     
52             619                 1          0          0     
53             562                 1          0          0     
54             644                 1          0          1     
55             272                 1          1          1     
56             182                 1          0          0     
57             397                 1          0          0     
58             157                 1          0          0     
59             539                 1          1          0     
60             375                 1          1          0     
61             67                  1          1          0     
62             597                 1          0          1     
63             34                  1          0          0     
64             163                 1          0          1     
65             298                 1          1          0     
66             595                 1          0          1     
67             185                 1          1          0     
68             163                 1          1          1     
69             42                  1          1          0     
70             448                 1          1          0     
71             143                 1          1          0     
72             344                 1          0          0     
73             157                 1          0          0     
74             438                 1          0          0     
75             71                  1          1          0     
76             97                  1          0          0     
Prediction accuracy  = 51 out of 77 (66.23%)
--- Session ended : 2021-08-24-180531
