--- Session started : 2021-08-15-130320
Algorithm being used is 'None'

Test Record    Best Match     Similarity  Predicted   Calculated  
Number         Record         Measure     Outcome     Outcome     
0              339                 1          0          0     
1              549                 1          0          0     
2              23                  1          0          0     
3              574                 1          0          0     
4              73                  1          0          0     
5              129                 1          1          1     
6              683                 1          0          0     
7              61                  1          0          0     
8              31                  1          0          0     
9              266                 1          0          0     
10             41                  1          0          0     
11             14                  1          1          0     
12             545                 1          0          0     
13             642                 1          0          1     
14             668                 1          0          0     
15             370                 1          0          0     
16             611                 1          0          0     
17             529                 1          1          1     
18             34                  1          0          0     
19             580                 1          0          0     
20             187                 1          1          1     
21             57                  1          1          1     
22             597                 1          0          0     
23             491                 1          0          0     
24             187                 1          1          1     
25             521                 1          1          1     
26             211                 1          0          0     
27             28                  1          0          0     
28             607                 1          0          0     
29             124                 1          0          0     
30             573                 1          0          0     
31             52                  1          0          0     
32             636                 1          0          0     
33             252                 1          0          0     
34             411                 1          0          0     
35             373                 1          1          0     
36             45                  1          0          0     
37             597                 1          0          0     
38             95                  1          0          0     
39             321                 1          0          0     
40             512                 1          0          0     
41             266                 1          1          0     
42             214                 1          0          1     
43             332                 1          1          1     
44             340                 1          1          1     
45             224                 1          1          1     
46             384                 1          0          0     
47             519                 1          0          0     
48             64                  1          0          1     
49             97                  1          0          0     
50             90                  1          1          0     
51             79                  1          0          0     
52             176                 1          0          0     
53             349                 1          0          0     
54             543                 1          0          0     
55             258                 1          0          0     
56             530                 1          0          0     
57             188                 1          0          0     
58             98                  1          1          1     
59             405                 1          0          0     
60             554                 1          0          0     
61             140                 1          0          0     
62             56                  1          0          0     
63             499                 1          0          0     
64             439                 1          1          1     
65             658                 1          1          0     
66             166                 1          1          1     
67             516                 1          0          0     
68             678                 1          1          1     
69             67                  1          0          0     
70             402                 1          0          0     
71             200                 1          0          0     
72             204                 1          0          0     
73             285                 1          0          0     
74             579                 1          0          0     
75             259                 1          0          0     
76             75                  1          0          0     
Prediction accuracy  = 69 out of 77 (89.61%)
--- Session ended : 2021-08-15-130320
