--- Session started : 2021-08-23-142029
Algorithm being used is 'Replace Missing Values With Graduations'

Test Record    Best Match     Similarity  Predicted   Calculated  
67             0                  NaN         0          0     
68             0                  NaN         1          0     
69             0                  NaN         0          0     
70             0                  NaN         1          0     
71             0                  NaN         1          0     
72             0                  NaN         0          0     
73             0                  NaN         1          0     
74             0                  NaN         1          0     
75             0                  NaN         0          0     
76             0                  NaN         0          0     
77             0                  NaN         0          0     
78             0                  NaN         1          0     
79             0                  NaN         1          0     
80             0                  NaN         0          0     
81             0                  NaN         0          0     
82             0                  NaN         0          0     
83             0                  NaN         1          0     
84             0                  NaN         1          0     
85             0                  NaN         0          0     
86             0                  NaN         1          0     
87             0                  NaN         0          0     
88             0                  NaN         0          0     
89             0                  NaN         0          0     
90             0                  NaN         1          0     
91             0                  NaN         0          0     
92             0                  NaN         1          0     
93             0                  NaN         0          0     
94             0                  NaN         1          0     
95             0                  NaN         1          0     
96             0                  NaN         1          0     
97             0                  NaN         0          0     
98             0                  NaN         0          0     
99             0                  NaN         1          0     
100            0                  NaN         1          0     
101            0                  NaN         0          0     
102            0                  NaN         0          0     
103            0                  NaN         0          0     
104            0                  NaN         0          0     
105            0                  NaN         0          0     
106            0                  NaN         0          0     
107            0                  NaN         0          0     
108            0                  NaN         1          0     
109            0                  NaN         1          0     
110            0                  NaN         0          0     
111            0                  NaN         0          0     
112            0                  NaN         1          0     
113            0                  NaN         1          0     
114            0                  NaN         0          0     
115            0                  NaN         1          0     
116            0                  NaN         0          0     
117            0                  NaN         0          0     
118            0                  NaN         1          0     
119            0                  NaN         0          0     
120            0                  NaN         0          0     
121            0                  NaN         0          0     
122            0                  NaN         1          0     
123            0                  NaN         0          0     
124            0                  NaN         0          0     
125            0                  NaN         0          0     
126            0                  NaN         0          0     
127            0                  NaN         0          0     
128            0                  NaN         0          0     
129            0                  NaN         1          0     
130            0                  NaN         0          0     
131            0                  NaN         0          0     
132            0                  NaN         0          0     
133            0                  NaN         0          0     
134            0                  NaN         0          0     
135            0                  NaN         0          0     
136            0                  NaN         0          0     
137            0                  NaN         0          0     
138            0                  NaN         1          0     
139            0                  NaN         1          0     
140            0                  NaN         1          0     
141            0                  NaN         0          0     
142            0                  NaN         0          0     
143            0                  NaN         1          0     
144            0                  NaN         1          0     
145            0                  NaN         0          0     
146            0                  NaN         1          0     
147            0                  NaN         0          0     
148            0                  NaN         0          0     
149            0                  NaN         0          0     
150            0                  NaN         0          0     
151            0                  NaN         0          0     
152            0                  NaN         1          0     
153            0                  NaN         1          0     
154            0                  NaN         0          0     
155            0                  NaN         0          0     
156            0                  NaN         1          0     
157            0                  NaN         0          0     
158            0                  NaN         0          0     
159            0                  NaN         0          0     
160            0                  NaN         0          0     
161            0                  NaN         1          0     
162            0                  NaN         0          0     
163            0                  NaN         1          0     
164            0                  NaN         1          0     
165            0                  NaN         0          0     
166            0                  NaN         0          0     
167            0                  NaN         1          0     
168            0                  NaN         1          0     
169            0                  NaN         0          0     
170            0                  NaN         1          0     
171            0                  NaN         1          0     
172            0                  NaN         1          0     
173            0                  NaN         0          0     
174            0                  NaN         0          0     
175            0                  NaN         1          0     
176            0                  NaN         0          0     
177            0                  NaN         0          0     
178            0                  NaN         0          0     
179            0                  NaN         0          0     
180            0                  NaN         1          0     
181            0                  NaN         0          0     
182            0                  NaN         1          0     
183            0                  NaN         1          0     
184            0                  NaN         1          0     
185            0                  NaN         1          0     
186            0                  NaN         0          0     
187            0                  NaN         1          0     
188            0                  NaN         1          0     
189            0                  NaN         1          0     
190            0                  NaN         0          0     
191            0                  NaN         1          0     
192            0                  NaN         1          0     
193            0                  NaN         1          0     
194            0                  NaN         1          0     
195            0                  NaN         0          0     
196            0                  NaN         0          0     
197            0                  NaN         0          0     
198            0                  NaN         1          0     
199            0                  NaN         0          0     
200            0                  NaN         0          0     
201            0                  NaN         1          0     
202            0                  NaN         0          0     
203            0                  NaN         0          0     
204            0                  NaN         1          0     
205            0                  NaN         0          0     
206            0                  NaN         1          0     
207            0                  NaN         0          0     
208            0                  NaN         0          0     
209            0                  NaN         0          0     
210            0                  NaN         0          0     
211            0                  NaN         0          0     
212            0                  NaN         1          0     
213            0                  NaN         0          0     
214            0                  NaN         0          0     
215            0                  NaN         0          0     
216            0                  NaN         1          0     
217            0                  NaN         1          0     
218            0                  NaN         0          0     
219            0                  NaN         0          0     
220            0                  NaN         1          0     
221            0                  NaN         0          0     
222            0                  NaN         0          0     
223            0                  NaN         0          0     
224            0                  NaN         0          0     
225            0                  NaN         1          0     
226            0                  NaN         1          0     
227            0                  NaN         1          0     
228            0                  NaN         1          0     
229            0                  NaN         1          0     
230            0                  NaN         1          0     
231            0                  NaN         0          0     
232            0                  NaN         0          0     
233            0                  NaN         1          0     
234            0                  NaN         1          0     
235            0                  NaN         0          0     
236            0                  NaN         0          0     
237            0                  NaN         0          0     
238            0                  NaN         0          0     
239            0                  NaN         0          0     
240            0                  NaN         0          0     
241            0                  NaN         0          0     
242            0                  NaN         1          0     
243            0                  NaN         0          0     
244            0                  NaN         0          0     
245            0                  NaN         0          0     
246            0                  NaN         0          0     
247            0                  NaN         1          0     
248            0                  NaN         0          0     
249            0                  NaN         1          0     
250            0                  NaN         1          0     
251            0                  NaN         0          0     
252            0                  NaN         0          0     
253            0                  NaN         0          0     
254            0                  NaN         1          0     
255            0                  NaN         0          0     
256            0                  NaN         0          0     
257            0                  NaN         0          0     
258            0                  NaN         0          0     
259            0                  NaN         1          0     
260            0                  NaN         0          0     
261            0                  NaN         1          0     
262            0                  NaN         0          0     
263            0                  NaN         1          0     
264            0                  NaN         1          0     
265            0                  NaN         0          0     
266            0                  NaN         0          0     
267            0                  NaN         0          0     
268            0                  NaN         1          0     
269            0                  NaN         0          0     
270            0                  NaN         1          0     
271            0                  NaN         0          0     
272            0                  NaN         0          0     
273            0                  NaN         1          0     
274            0                  NaN         0          0     
275            0                  NaN         0          0     
276            0                  NaN         0          0     
277            0                  NaN         1          0     
278            0                  NaN         1          0     
279            0                  NaN         0          0     
280            0                  NaN         0          0     
281            0                  NaN         1          0     
282            0                  NaN         1          0     
283            0                  NaN         0          0     
284            0                  NaN         1          0     
285            0                  NaN         1          0     
286            0                  NaN         1          0     
287            0                  NaN         0          0     
288            0                  NaN         0          0     
289            0                  NaN         0          0     
290            0                  NaN         0          0     
291            0                  NaN         0          0     
292            0                  NaN         0          0     
293            0                  NaN         0          0     
294            0                  NaN         1          0     
295            0                  NaN         0          0     
296            0                  NaN         0          0     
297            0                  NaN         1          0     
298            0                  NaN         0          0     
299            0                  NaN         0          0     
300            0                  NaN         0          0     
301            0                  NaN         0          0     
302            0                  NaN         1          0     
303            0                  NaN         0          0     
304            0                  NaN         1          0     
305            0                  NaN         1          0     
306            0                  NaN         0          0     
307            0                  NaN         0          0     
308            0                  NaN         1          0     
309            0                  NaN         0          0     
310            0                  NaN         0          0     
311            0                  NaN         0          0     
312            0                  NaN         1          0     
313            0                  NaN         0          0     
314            0                  NaN         1          0     
315            0                  NaN         0          0     
316            0                  NaN         1          0     
317            0                  NaN         1          0     
318            0                  NaN         0          0     
319            0                  NaN         1          0     
320            0                  NaN         0          0     
321            0                  NaN         0          0     
322            0                  NaN         1          0     
323            0                  NaN         0          0     
324            0                  NaN         0          0     
325            0                  NaN         0          0     
326            0                  NaN         0          0     
327            0                  NaN         0          0     
328            0                  NaN         0          0     
329            0                  NaN         0          0     
330            0                  NaN         0          0     
331            0                  NaN         0          0     
332            0                  NaN         0          0     
333            0                  NaN         0          0     
334            0                  NaN         0          0     
335            0                  NaN         0          0     
336            0                  NaN         1          0     
337            0                  NaN         0          0     
338            0                  NaN         1          0     
339            0                  NaN         1          0     
340            0                  NaN         0          0     
341            0                  NaN         0          0     
342            0                  NaN         0          0     
343            0                  NaN         1          0     
344            0                  NaN         0          0     
345            0                  NaN         0          0     
346            0                  NaN         0          0     
347            0                  NaN         0          0     
348            0                  NaN         0          0     
349            0                  NaN         0          0     
350            0                  NaN         1          0     
351            0                  NaN         0          0     
352            0                  NaN         1          0     
353            0                  NaN         1          0     
354            0                  NaN         0          0     
355            0                  NaN         1          0     
356            0                  NaN         1          0     
357            0                  NaN         1          0     
358            0                  NaN         1          0     
359            0                  NaN         0          0     
360            0                  NaN         1          0     
361            0                  NaN         1          0     
362            0                  NaN         0          0     
363            0                  NaN         1          0     
364            0                  NaN         0          0     
365            0                  NaN         0          0     
366            0                  NaN         1          0     
367            0                  NaN         1          0     
368            0                  NaN         0          0     
369            0                  NaN         0          0     
370            0                  NaN         1          0     
371            0                  NaN         1          0     
372            0                  NaN         0          0     
373            0                  NaN         0          0     
374            0                  NaN         0          0     
375            0                  NaN         0          0     
376            0                  NaN         0          0     
377            0                  NaN         0          0     
378            0                  NaN         0          0     
379            0                  NaN         0          0     
380            0                  NaN         1          0     
381            0                  NaN         0          0     
382            0                  NaN         0          0     
383            0                  NaN         0          0     
384            0                  NaN         0          0     
385            0                  NaN         0          0     
386            0                  NaN         0          0     
387            0                  NaN         0          0     
388            0                  NaN         1          0     
389            0                  NaN         1          0     
390            0                  NaN         0          0     
391            0                  NaN         1          0     
392            0                  NaN         0          0     
393            0                  NaN         0          0     
394            0                  NaN         0          0     
395            0                  NaN         1          0     
396            0                  NaN         1          0     
397            0                  NaN         0          0     
398            0                  NaN         0          0     
399            0                  NaN         0          0     
400            0                  NaN         0          0     
401            0                  NaN         0          0     
402            0                  NaN         1          0     
403            0                  NaN         0          0     
404            0                  NaN         0          0     
405            0                  NaN         0          0     
406            0                  NaN         0          0     
407            0                  NaN         0          0     
408            0                  NaN         0          0     
409            0                  NaN         0          0     
410            0                  NaN         1          0     
411            0                  NaN         1          0     
412            0                  NaN         1          0     
413            0                  NaN         0          0     
414            0                  NaN         0          0     
415            0                  NaN         0          0     
416            0                  NaN         0          0     
417            0                  NaN         0          0     
418            0                  NaN         0          0     
419            0                  NaN         0          0     
420            0                  NaN         0          0     
421            0                  NaN         0          0     
422            0                  NaN         0          0     
423            0                  NaN         0          0     
424            0                  NaN         0          0     
425            0                  NaN         0          0     
426            0                  NaN         0          0     
427            0                  NaN         0          0     
428            0                  NaN         1          0     
429            0                  NaN         0          0     
430            0                  NaN         0          0     
431            0                  NaN         0          0     
432            0                  NaN         0          0     
433            0                  NaN         1          0     
434            0                  NaN         0          0     
435            0                  NaN         1          0     
436            0                  NaN         1          0     
437            0                  NaN         0          0     
438            0                  NaN         0          0     
439            0                  NaN         1          0     
440            0                  NaN         1          0     
441            0                  NaN         1          0     
442            0                  NaN         0          0     
443            0                  NaN         0          0     
444            0                  NaN         1          0     
445            0                  NaN         0          0     
446            0                  NaN         1          0     
447            0                  NaN         0          0     
448            0                  NaN         0          0     
449            0                  NaN         0          0     
450            0                  NaN         0          0     
451            0                  NaN         1          0     
452            0                  NaN         0          0     
453            0                  NaN         0          0     
454            0                  NaN         0          0     
455            0                  NaN         1          0     
456            0                  NaN         0          0     
457            0                  NaN         0          0     
458            0                  NaN         1          0     
459            0                  NaN         0          0     
460            0                  NaN         1          0     
461            0                  NaN         1          0     
462            0                  NaN         0          0     
463            0                  NaN         1          0     
464            0                  NaN         0          0     
465            0                  NaN         0          0     
466            0                  NaN         0          0     
467            0                  NaN         0          0     
468            0                  NaN         0          0     
469            0                  NaN         1          0     
470            0                  NaN         0          0     
471            0                  NaN         0          0     
472            0                  NaN         0          0     
473            0                  NaN         1          0     
474            0                  NaN         0          0     
475            0                  NaN         0          0     
476            0                  NaN         0          0     
477            0                  NaN         0          0     
478            0                  NaN         0          0     
479            0                  NaN         0          0     
480            0                  NaN         0          0     
481            0                  NaN         1          0     
482            0                  NaN         1          0     
483            0                  NaN         0          0     
484            0                  NaN         0          0     
485            0                  NaN         0          0     
486            0                  NaN         1          0     
487            0                  NaN         1          0     
488            0                  NaN         1          0     
489            0                  NaN         0          0     
490            0                  NaN         0          0     
491            0                  NaN         1          0     
492            0                  NaN         0          0     
493            0                  NaN         0          0     
494            0                  NaN         1          0     
495            0                  NaN         0          0     
496            0                  NaN         1          0     
497            0                  NaN         0          0     
498            0                  NaN         0          0     
499            0                  NaN         1          0     
500            0                  NaN         1          0     
501            0                  NaN         0          0     
502            0                  NaN         0          0     
503            0                  NaN         0          0     
504            0                  NaN         1          0     
505            0                  NaN         1          0     
506            0                  NaN         1          0     
507            0                  NaN         0          0     
508            0                  NaN         0          0     
509            0                  NaN         1          0     
510            0                  NaN         0          0     
511            0                  NaN         1          0     
512            0                  NaN         1          0     
513            0                  NaN         0          0     
514            0                  NaN         0          0     
515            0                  NaN         0          0     
516            0                  NaN         0          0     
517            0                  NaN         0          0     
518            0                  NaN         1          0     
519            0                  NaN         1          0     
520            0                  NaN         0          0     
521            0                  NaN         0          0     
522            0                  NaN         0          0     
523            0                  NaN         0          0     
524            0                  NaN         0          0     
525            0                  NaN         0          0     
526            0                  NaN         0          0     
527            0                  NaN         0          0     
528            0                  NaN         1          0     
529            0                  NaN         1          0     
530            0                  NaN         0          0     
531            0                  NaN         1          0     
532            0                  NaN         1          0     
533            0                  NaN         0          0     
534            0                  NaN         0          0     
535            0                  NaN         1          0     
536            0                  NaN         0          0     
537            0                  NaN         0          0     
538            0                  NaN         0          0     
539            0                  NaN         1          0     
540            0                  NaN         0          0     
541            0                  NaN         1          0     
542            0                  NaN         0          0     
543            0                  NaN         0          0     
544            0                  NaN         1          0     
545            0                  NaN         0          0     
546            0                  NaN         0          0     
547            0                  NaN         0          0     
548            0                  NaN         1          0     
549            0                  NaN         0          0     
550            0                  NaN         0          0     
551            0                  NaN         0          0     
552            0                  NaN         0          0     
553            0                  NaN         0          0     
554            0                  NaN         0          0     
555            0                  NaN         1          0     
556            0                  NaN         0          0     
557            0                  NaN         0          0     
558            0                  NaN         1          0     
559            0                  NaN         0          0     
560            0                  NaN         0          0     
561            0                  NaN         0          0     
562            0                  NaN         0          0     
563            0                  NaN         1          0     
564            0                  NaN         1          0     
565            0                  NaN         1          0     
566            0                  NaN         0          0     
567            0                  NaN         0          0     
568            0                  NaN         0          0     
569            0                  NaN         1          0     
570            0                  NaN         0          0     
571            0                  NaN         0          0     
572            0                  NaN         1          0     
573            0                  NaN         0          0     
574            0                  NaN         0          0     
575            0                  NaN         0          0     
576            0                  NaN         0          0     
577            0                  NaN         1          0     
578            0                  NaN         1          0     
579            0                  NaN         1          0     
580            0                  NaN         0          0     
581            0                  NaN         1          0     
582            0                  NaN         0          0     
583            0                  NaN         1          0     
584            0                  NaN         0          0     
585            0                  NaN         0          0     
586            0                  NaN         0          0     
587            0                  NaN         0          0     
588            0                  NaN         1          0     
589            0                  NaN         0          0     
590            0                  NaN         1          0     
591            0                  NaN         0          0     
592            0                  NaN         0          0     
593            0                  NaN         0          0     
594            0                  NaN         1          0     
595            0                  NaN         0          0     
596            0                  NaN         0          0     
597            0                  NaN         0          0     
598            0                  NaN         0          0     
599            0                  NaN         0          0     
600            0                  NaN         1          0     
601            0                  NaN         0          0     
602            0                  NaN         0          0     
603            0                  NaN         0          0     
604            0                  NaN         0          0     
605            0                  NaN         1          0     
606            0                  NaN         1          0     
607            0                  NaN         1          0     
608            0                  NaN         0          0     
609            0                  NaN         1          0     
610            0                  NaN         0          0     
611            0                  NaN         0          0     
612            0                  NaN         0          0     
613            0                  NaN         0          0     
614            0                  NaN         0          0     
615            0                  NaN         0          0     
616            0                  NaN         1          0     
617            0                  NaN         1          0     
618            0                  NaN         0          0     
619            0                  NaN         1          0     
620            0                  NaN         0          0     
621            0                  NaN         0          0     
622            0                  NaN         1          0     
623            0                  NaN         0          0     
624            0                  NaN         0          0     
625            0                  NaN         0          0     
626            0                  NaN         0          0     
627            0                  NaN         0          0     
628            0                  NaN         0          0     
629            0                  NaN         0          0     
630            0                  NaN         0          0     
631            0                  NaN         1          0     
632            0                  NaN         0          0     
633            0                  NaN         0          0     
634            0                  NaN         1          0     
635            0                  NaN         0          0     
636            0                  NaN         1          0     
637            0                  NaN         1          0     
638            0                  NaN         0          0     
639            0                  NaN         1          0     
640            0                  NaN         1          0     
641            0                  NaN         0          0     
642            0                  NaN         1          0     
643            0                  NaN         1          0     
644            0                  NaN         0          0     
645            0                  NaN         1          0     
646            0                  NaN         0          0     
647            0                  NaN         0          0     
648            0                  NaN         1          0     
649            0                  NaN         0          0     
650            0                  NaN         0          0     
651            0                  NaN         1          0     
652            0                  NaN         1          0     
653            0                  NaN         0          0     
654            0                  NaN         0          0     
655            0                  NaN         1          0     
656            0                  NaN         0          0     
657            0                  NaN         0          0     
658            0                  NaN         1          0     
659            0                  NaN         1          0     
660            0                  NaN         0          0     
661            0                  NaN         1          0     
662            0                  NaN         0          0     
663            0                  NaN         0          0     
664            0                  NaN         0          0     
665            0                  NaN         0          0     
666            0                  NaN         0          0     
667            0                  NaN         0          0     
668            0                  NaN         0          0     
669            0                  NaN         0          0     
670            0                  NaN         0          0     
671            0                  NaN         0          0     
672            0                  NaN         0          0     
673            0                  NaN         0          0     
674            0                  NaN         0          0     
675            0                  NaN         1          0     
676            0                  NaN         1          0     
677            0                  NaN         0          0     
678            0                  NaN         0          0     
679            0                  NaN         0          0     
680            0                  NaN         0          0     
681            0                  NaN         1          0     
682            0                  NaN         1          0     
683            0                  NaN         0          0     
684            0                  NaN         0          0     
685            0                  NaN         1          0     
686            0                  NaN         0          0     
687            0                  NaN         1          0     
688            0                  NaN         0          0     
689            0                  NaN         0          0     
690            0                  NaN         0          0     
691            0                  NaN         0          0     
692            0                  NaN         1          0     
693            0                  NaN         1          0     
694            0                  NaN         0          0     
695            0                  NaN         0          0     
696            0                  NaN         0          0     
697            0                  NaN         1          0     
698            0                  NaN         0          0     
699            0                  NaN         1          0     
700            0                  NaN         0          0     
701            0                  NaN         0          0     
702            0                  NaN         0          0     
703            0                  NaN         1          0     
704            0                  NaN         1          0     
705            0                  NaN         0          0     
706            0                  NaN         1          0     
707            0                  NaN         0          0     
708            0                  NaN         1          0     
709            0                  NaN         0          0     
710            0                  NaN         1          0     
711            0                  NaN         0          0     
712            0                  NaN         0          0     
713            0                  NaN         0          0     
714            0                  NaN         0          0     
715            0                  NaN         0          0     
716            0                  NaN         0          0     
717            0                  NaN         0          0     
718            0                  NaN         1          0     
719            0                  NaN         0          0     
720            0                  NaN         1          0     
721            0                  NaN         0          0     
722            0                  NaN         0          0     
723            0                  NaN         0          0     
724            0                  NaN         1          0     
725            0                  NaN         0          0     
726            0                  NaN         0          0     
727            0                  NaN         1          0     
728            0                  NaN         1          0     
729            0                  NaN         1          0     
Prediction accuracy  = 472 out of 730 (64.66%)
--- Session ended : 2021-08-23-142029
