--- Session started : 2021-08-16-101349
Algorithm being used is 'Remove incomplete Records'

Test Record    Best Match     Similarity  Predicted   Calculated  
Number         Record         Measure     Outcome     Outcome     
0              292                 1          0          0     
1              255                 1          0          0     
2              297                 1          1          0     
3              318                 1          0          0     
4              273                 1          1          1     
5              92                  1          1          1     
6              245                0.9         1          0     
7              260                 1          1          1     
8              318                 1          0          0     
9              297                 1          1          0     
10             124                 1          0          1     
11             297                 1          1          0     
12             15                  1          0          0     
13             247                 1          1          1     
14             171                 1          0          0     
15             313                 1          0          0     
16             29                  1          0          0     
17             255                 1          0          0     
18             245                0.9         1          0     
19             175                 1          1          1     
20             232                 1          0          0     
21             297                 1          1          0     
22             65                  1          1          1     
23             297                 1          0          0     
24             127                 1          1          1     
25             217                 1          1          1     
26             44                  1          0          0     
27             247                 1          1          1     
28             4                   1          0          0     
29             157                 1          0          0     
30             255                 1          0          0     
31             232                 1          0          0     
32             297                 1          1          0     
33             218                 1          1          1     
34             255                 1          0          0     
35             318                 1          0          0     
36             297                 1          1          0     
37             297                 1          0          0     
38             297                 1          1          0     
Prediction accuracy  = 29 out of 39 (74.36%)
--- Session ended : 2021-08-16-101349
